# ion     wavelength   f_jk    Damping_coefficient mass_amu
  CIII    977.0201     0.757   1.76E9              12.0107 
  NIa     1199.5496    0.1320  4.07e8              14.0067
  NIb     1200.2233    0.0869  4.02e8              14.0067
  NIc     1200.7098    0.0432  4.00e8              14.0067
  SIIa 	  1250.584	   0.00543 4.63e7 			       32.065
  SIIb 	  1253.811	   0.0109  4.62e7 			       32.065
  SIIc 	  1259.519	   0.0166  4.65e7 			       32.065
  OI 	    1302.1685	   0.04800 5.650e8 			       15.9994
  CIIa    1036.3367    0.11800  2.88E8              12.0107 
  CIIb    1334.5323    0.1278  2.88E8              12.0107   
  CII*    1335.7077    0.1150  2.88E8              12.0107 
  NVa     1238.821     0.156   3.391E8             14.0067 
  NVb     1242.804     0.077   3.356E8             14.0067 
  SiIIa   1190.4158    0.292   4.08E9              28.0855 
  SiIIb   1193.2897    0.582   4.07000013E9        28.0855 
  SiIIc   1260.4221    1.18    2.95000013E9        28.0855 
  SiIId   1304.3702    0.0863  1.01E9              28.0855 
  SiIIe   1526.70698   0.133   1.13E9              28.0855 
  SiIII   1206.5       1.63    2.48E9              28.0855 
  SiIVa   1393.76018   0.513   8.8E8               28.0855 
  SiIVb   1402.77291   0.254   8.62E8              28.0855 
  OVIa    1031.9261    0.1325  4.149E8             15.9994 
  OVIb    1037.6167    0.0658  4.076E8             15.9994 
  NeVIIIa 780.324      0.0505  1.0E8               20.1797 
  NeVIIIb 770.409      0.103   1.0E8               20.1797 
  CIVa    1548.2049    0.1899  2.642E8             12.0107 
  CIVb    1550.77845   0.09475 2.628E8             12.0107 
  FeIIa   1144.9379    0.0830  3.520E8             55.845
  FeIIb   1608.45085   0.0577  2.74e8              55.845
  NiII 	  1703.4119	   0.01224 5.00e8 			   58.6934
  AlII    1670.7886    1.740   1.390e9             26.981539
  MgIIa   2796.3542699 0.6155  2.68E8              24.305  
  MgIIb   2803.5314853 0.3058  2.66E8              24.305  
  MgI     2852.96328   1.83    5.0E8               24.305  
  HIa     1215.6701    0.4164  6.2649997E8         1.0079    
  HIb     1025.7223    0.07912 1.897E8             1.0079    
  HIc     972.5368     0.02900 8.127E7             1.0079
  HId     949.7431     0.01394 4.204E7             1.0079
  HIe     937.8035     0.007799   2.450E7          1.0079    
  HIf     930.7483     0.004814   1.236E7          1.0079
